
Symbol,Last,Net Chng,Bid,Ask
.XOM250117P140,37.33,0,34.55,35.85
.XOM250117P145,40.45,0,38.00,39.55
.XOM250117P150,42.25,0,41.40,43.45
.XOM250117P155,48.00,0,45.25,47.45
.XOM250117P165,55.90,0,53.35,56.05
.XOM250117P170,57.40,0,57.65,60.60
.XOM240621P42.5,1.03,0,.61,1.01
.XOM240621P45,.95,0,.76,1.20
.XOM240621P47.5,1.07,-.18,.87,1.35
.XOM240621P50,1.25,0,1.01,1.51
.XOM240621P55,1.80,0,1.35,1.75
.XOM240621P60,2.30,0,1.80,2.23
.XOM240621P65,2.75,0,2.41,2.83
.XOM240621P70,3.40,0,3.15,3.60
.XOM240621P75,4.25,0,4.00,4.45
.XOM240621P77.5,4.55,0,4.45,5.00
.XOM240621P80,5.30,+.15,5.00,5.45
.XOM240621P82.5,5.85,+.15,5.60,6.05
.XOM240621P85,6.40,0,6.20,6.70
.XOM240621P87.5,6.90,0,6.90,7.35
.XOM240621P90,7.69,0,7.60,8.10
.XOM240621P92.5,9.51,0,8.30,8.85
.XOM240621P95,9.15,0,9.15,9.85
.XOM240621P97.5,10.00,0,10.00,10.65
.XOM240621P100,11.30,+.65,10.95,11.60
.XOM240621P105,13.00,0,12.90,13.50
.XOM240621P110,15.55,0,15.10,15.90
.XOM240621P115,17.50,0,17.65,18.20
.XOM240621P120,20.65,+.65,20.35,20.95
.XOM240621P125,23.65,+1.05,23.20,24.05
.XOM240621P130,25.75,0,26.25,27.00
.XOM240621P135,29.55,0,29.55,30.65
.XOM240621P140,35.80,0,33.10,34.15
.XOM240621P145,39.65,0,36.75,37.85
.XOM240621P150,43.75,0,40.70,41.55
.XOM240621P165,54.40,0,53.30,54.60
.XOM240621P170,57.77,0,58.00,59.00
.XOM240119P27.5,.17,-.01,.11,.26
.XOM240119P30,.18,0,.10,.30
.XOM240119P32.5,.37,0,.13,.40
.XOM240119P35,.48,0,.23,.46
.XOM240119P37.5,.36,0,.29,.54
.XOM240119P40,.38,0,.29,.56
.XOM240119P42.5,.54,0,.37,.70
.XOM240119P45,.62,0,.44,.63
.XOM240119P47.5,.60,0,.52,.90
.XOM240119P50,.76,+.01,.65,.95
.XOM240119P52.5,.93,0,.71,.97
.XOM240119P55,1.24,0,.88,1.29
.XOM240119P57.5,1.35,0,1.04,1.46
.XOM240119P60,1.30,0,1.23,1.43
.XOM240119P62.5,1.45,0,1.47,1.64
.XOM240119P65,1.84,+.04,1.71,1.82
.XOM240119P67.5,2.17,-.02,1.92,2.15
.XOM240119P70,2.45,+.10,2.24,2.44
.XOM240119P72.5,2.50,0,2.57,2.78
.XOM240119P75,2.85,0,2.91,3.15
.XOM240119P77.5,3.60,+.30,3.30,3.55
.XOM240119P80,4.10,+.17,3.75,4.00
.XOM240119P82.5,4.20,0,4.25,4.50
.XOM240119P85,4.60,0,4.80,5.10
.XOM240119P87.5,6.35,0,5.35,5.60
.XOM240119P90,6.20,+.39,6.00,6.25
.XOM240119P92.5,6.85,0,6.65,7.05
.XOM240119P95,7.68,0,7.35,7.80
.XOM240119P97.5,8.21,0,8.20,8.65
.XOM240119P100,9.50,+.30,9.05,9.50
.XOM240119P105,11.20,0,11.00,11.45
.XOM240119P110,14.00,+.80,13.15,13.65
.XOM240119P115,15.95,-.15,15.55,16.05
.XOM240119P120,19.00,+.65,18.25,18.80
.XOM240119P125,20.70,0,21.20,21.80
.XOM240119P130,23.75,0,24.45,25.20
.XOM240119P135,41.10,0,27.90,28.45
.XOM240119P140,31.83,0,31.60,32.35
.XOM240119P145,41.68,0,35.50,36.15
.XOM240119P150,40.50,+1.55,39.60,40.30
.XOM240119P170,56.65,0,57.35,58.75
.XOM230721P70,1.15,-.01,1.08,1.18
.XOM230721P80,2.20,-.08,2.03,2.19
.XOM230721P85,3.10,+.14,2.73,2.94
.XOM230721P90,4.05,+.05,3.65,3.90
.XOM230721P95,5.20,0,4.80,5.10
.XOM230721P105,8.70,+.20,7.95,8.25
.XOM230721P115,12.60,-.15,12.40,12.80
.XOM230616P40,.13,+.03,.07,.16
.XOM230616P42.5,.13,0,.08,.21
.XOM230616P45,.17,0,.11,.25
.XOM230616P47.5,.25,0,.14,.29
.XOM230616P50,.25,0,.20,.34
.XOM230616P55,.36,0,.30,.46
.XOM230616P60,.54,-.01,.46,.60
.XOM230616P65,.75,+.02,.68,.75
.XOM230616P70,1.05,0,.92,1.08
.XOM230616P72.5,1.09,0,1.07,1.27
.XOM230616P75,1.39,0,1.36,1.48
.XOM230616P77.5,1.69,-.01,1.52,1.72
.XOM230616P80,1.94,+.01,1.84,2.00
.XOM230616P82.5,2.32,0,2.06,2.31
.XOM230616P85,2.62,-.08,2.50,2.67
.XOM230616P87.5,3.20,+.21,2.90,3.10
.XOM230616P90,3.55,0,3.40,3.55
.XOM230616P92.5,4.05,+.15,3.90,4.10
.XOM230616P95,4.63,+.03,4.45,4.70
.XOM230616P97.5,5.30,+.05,5.10,5.35
.XOM230616P100,6.35,+.53,5.80,6.05
.XOM230616P105,7.75,+.10,7.45,7.80
.XOM230616P110,9.85,+.35,9.50,9.80
.XOM230616P115,12.15,+.05,11.85,12.30
.XOM230616P120,15.70,+1.10,14.60,14.95
.XOM230616P125,18.70,0,17.70,18.20
.XOM230616P130,20.25,0,21.25,21.70
.XOM230616P135,24.25,0,25.05,25.50
.XOM230616P140,29.50,0,29.15,29.60
.XOM230616P145,32.89,0,33.45,33.95
.XOM230616P150,38.30,+1.94,37.95,38.50
.XOM230616P160,46.22,0,47.65,48.05
.XOM230616P165,55.00,0,52.65,53.05
.XOM230421P42.5,.07,0,.02,.10
.XOM230421P45,.12,0,.03,.13
.XOM230421P47.5,.09,0,.04,.14
.XOM230421P50,.13,-.04,.08,.17
.XOM230421P55,.20,0,.15,.25
.XOM230421P60,.31,+.02,.21,.34
.XOM230421P65,.42,0,.34,.46
.XOM230421P70,.55,0,.51,.63
.XOM230421P75,.85,+.08,.77,.86
.XOM230421P77.5,1.07,+.17,.91,1.04
.XOM230421P80,1.15,0,1.12,1.23
.XOM230421P82.5,1.40,+.04,1.30,1.46
.XOM230421P85,1.64,0,1.61,1.72
.XOM230421P87.5,2.08,0,1.90,2.04
.XOM230421P90,2.45,+.17,2.27,2.39
.XOM230421P92.5,2.84,+.14,2.69,2.83
.XOM230421P95,3.40,+.20,3.20,3.35
.XOM230421P97.5,3.85,+.10,3.75,3.95
.XOM230421P100,4.45,0,4.40,4.60
.XOM230421P105,6.05,-.05,5.95,6.15
.XOM230421P110,8.65,+.90,7.85,8.10
.XOM230421P115,10.65,+.45,10.25,10.50
.XOM230421P120,13.71,+.46,13.05,13.50
.XOM230421P125,16.80,0,16.30,16.75
.XOM230421P130,20.65,0,20.05,20.45
.XOM230421P135,25.50,+.80,24.05,24.50
.XOM230421P140,29.35,0,28.40,28.85
.XOM230421P145,31.01,0,32.90,33.40
.XOM230421P150,39.90,0,37.70,38.15
.XOM230317P42.5,.08,+.03,.03,.07
.XOM230317P45,.08,0,.01,.10
.XOM230317P47.5,.09,-.02,.03,.11
.XOM230317P50,.07,0,.04,.13
.XOM230317P55,.12,0,.07,.19
.XOM230317P60,.28,+.07,.14,.24
.XOM230317P65,.30,+.08,.22,.30
.XOM230317P70,.40,-.03,.36,.43
.XOM230317P75,.61,-.06,.54,.64
.XOM230317P77.5,.75,+.10,.64,.74
.XOM230317P80,.85,-.10,.81,.92
.XOM230317P82.5,1.07,0,.98,1.07
.XOM230317P85,1.25,+.03,1.17,1.29
.XOM230317P87.5,1.58,0,1.45,1.56
.XOM230317P90,1.93,+.22,1.75,1.89
.XOM230317P92.5,2.26,-.12,2.13,2.25
.XOM230317P95,2.71,+.06,2.54,2.69
.XOM230317P97.5,3.20,-.02,3.05,3.20
.XOM230317P100,3.65,+.09,3.60,3.80
.XOM230317P105,5.05,+.13,5.10,5.35
.XOM230317P110,7.10,+.20,6.95,7.20
.XOM230317P115,9.45,+.30,9.30,9.60
.XOM230317P120,12.25,+.20,12.15,12.55
.XOM230317P125,16.50,0,15.55,15.95
.XOM230317P130,20.75,0,19.40,19.80
.XOM230317P135,23.80,0,23.50,24.00
.XOM230317P140,32.52,0,28.00,28.50
.XOM230317P145,36.30,0,32.70,33.20
.XOM230317P150,36.58,0,37.65,38.10
.XOM230317P170,56.05,0,57.65,58.05
.XOM230217P75,.47,+.14,.35,.45
.XOM230217P80,.61,+.01,.53,.62
.XOM230217P85,.90,+.01,.83,.92
.XOM230217P90,1.34,+.01,1.27,1.37
.XOM230217P95,1.93,-.12,1.95,2.05
.XOM230217P100,2.95,+.02,2.86,2.99
.XOM230217P105,4.30,+.25,4.20,4.35
.XOM230217P110,6.15,+.35,6.00,6.20
.XOM230217P115,8.35,+.15,8.40,8.65
.XOM230217P120,12.45,+1.45,11.30,11.65
.XOM230217P125,15.25,+.10,14.85,15.25
.XOM230217P130,19.30,-.20,18.80,19.20
.XOM230120P17.5,.01,0,0,.01
.XOM230120P20,.01,0,0,.08
.XOM230120P22.5,.02,0,0,.02
.XOM230120P25,.02,0,0,.03
.XOM230120P27.5,.06,0,0,.06
.XOM230120P30,.01,0,0,.03
.XOM230120P32.5,.01,0,0,.05
.XOM230120P35,.02,0,0,.06
.XOM230120P37.5,.02,+.01,0,.07
.XOM230120P40,.03,+.01,0,.06
.XOM230120P42.5,.03,0,0,.04
.XOM230120P45,.03,0,0,.03
.XOM230120P47.5,.03,0,.02,.04
.XOM230120P50,.05,+.02,.03,.05
.XOM230120P52.5,.06,+.01,.01,.06
.XOM230120P55,.06,0,.02,.07
.XOM230120P57.5,.07,+.03,.01,.08
.XOM230120P60,.08,0,.06,.09
.XOM230120P62.5,.09,0,.03,.10
.XOM230120P65,.10,-.02,.05,.11
.XOM230120P67.5,.13,+.02,.08,.13
.XOM230120P70,.15,0,.11,.17
.XOM230120P72.5,.19,+.01,.13,.19
.XOM230120P75,.22,+.02,.17,.21
.XOM230120P77.5,.27,+.02,.21,.24
.XOM230120P80,.30,+.03,.27,.30
.XOM230120P82.5,.37,-.02,.33,.38
.XOM230120P85,.45,0,.43,.47
.XOM230120P87.5,.59,-.01,.53,.59
.XOM230120P90,.72,-.03,.68,.74
.XOM230120P92.5,.90,-.02,.87,.94
.XOM230120P95,1.16,-.03,1.11,1.19
.XOM230120P97.5,1.47,+.05,1.42,1.51
.XOM230120P100,1.85,+.11,1.80,1.90
.XOM230120P105,2.91,+.14,2.86,3.00
.XOM230120P110,4.58,+.28,4.45,4.65
.XOM230120P115,6.85,+.26,6.75,6.95
.XOM230120P120,10.00,+.15,9.85,10.10
.XOM230120P125,13.60,-.35,13.65,14.00
.XOM230120P130,19.50,+1.35,17.90,18.35
.XOM230120P135,22.30,0,22.65,23.15
.XOM230120P140,29.05,0,27.65,28.05
.XOM230120P145,39.65,0,32.65,33.05
.XOM230120P150,43.91,0,37.65,38.05
.XOM221230P55,.04,0,0,.09
.XOM221230P70,.07,0,.03,.10
.XOM221230P75,.10,0,.05,.15
.XOM221230P80,.14,0,.09,.18
.XOM221230P85,.23,0,.18,.29
.XOM221230P90,.39,-.04,.33,.41
.XOM221230P95,.70,+.10,.59,.69
.XOM221230P98,1.14,+.11,.85,.98
.XOM221230P99,1.12,+.14,.97,1.07
.XOM221230P100,1.15,-.02,1.09,1.21
.XOM221230P101,1.41,-.16,1.24,1.35
.XOM221230P102,1.50,-.01,1.38,1.52
.XOM221230P103,1.60,-.34,1.53,1.70
.XOM221230P104,1.75,0,1.76,1.90
.XOM221230P105,2.07,-.10,1.98,2.13
.XOM221230P106,2.67,+.10,2.21,2.39
.XOM221230P107,2.68,+.03,2.48,2.67
.XOM221230P108,3.15,-.05,2.75,2.99
.XOM221230P109,3.30,0,3.10,3.35
.XOM221230P110,3.50,+.13,3.45,3.75
.XOM221230P111,4.00,+.20,3.85,4.15
.XOM221230P112,4.36,-.09,4.25,4.55
.XOM221230P113,4.95,-.40,4.75,5.00
.XOM221230P114,5.55,-.50,5.25,5.55
.XOM221230P115,7.20,+1.24,5.80,6.10
.XOM221230P116,6.00,0,6.35,6.70
.XOM221230P117,7.60,+.89,7.00,7.30
.XOM221230P118,6.80,0,7.65,7.95
.XOM221230P120,9.40,0,9.05,9.40
.XOM221230P121,8.55,0,9.85,10.15
.XOM221223P55,.04,0,0,.08
.XOM221223P70,.06,0,.01,.10
.XOM221223P75,.11,0,.03,.10
.XOM221223P80,.13,+.01,.07,.17
.XOM221223P85,.14,-.08,.12,.17
.XOM221223P90,.33,+.04,.27,.33
.XOM221223P95,.56,-.05,.47,.54
.XOM221223P98,.79,-.11,.70,.79
.XOM221223P99,.85,+.02,.78,.89
.XOM221223P100,1.03,-.05,.89,1.00
.XOM221223P101,1.03,-.20,1.02,1.14
.XOM221223P102,1.16,-.23,1.15,1.29
.XOM221223P103,1.47,0,1.32,1.46
.XOM221223P104,1.69,+.02,1.51,1.64
.XOM221223P105,1.90,-.19,1.69,1.86
.XOM221223P106,1.89,0,1.93,2.10
.XOM221223P107,2.43,-.23,2.19,2.37
.XOM221223P108,2.51,-.32,2.48,2.67
.XOM221223P109,2.95,-.20,2.77,3.05
.XOM221223P110,3.33,+.09,3.10,3.40
.XOM221223P111,3.60,-.50,3.50,3.80
.XOM221223P112,4.12,+.05,3.95,4.25
.XOM221223P113,4.65,+.05,4.45,4.75
.XOM221223P114,5.25,+.13,4.90,5.20
.XOM221223P115,5.76,+.01,5.50,5.80
.XOM221223P116,6.20,0,6.05,6.40
.XOM221223P117,6.90,0,6.70,7.05
.XOM221223P118,6.35,0,7.35,7.70
.XOM221223P120,8.00,0,8.80,9.15
.XOM221223P125,15.45,0,13.00,13.40
.XOM221223P130,17.62,0,17.65,18.15
.XOM221216P42.5,.01,0,0,.01
.XOM221216P45,.04,0,0,.06
.XOM221216P47.5,.20,0,0,.05
.XOM221216P50,.02,0,0,.03
.XOM221216P55,.02,0,0,.05
.XOM221216P60,.03,0,0,.02
.XOM221216P65,.03,0,.02,.06
.XOM221216P70,.03,-.01,.02,.04
.XOM221216P75,.05,-.02,.02,.05
.XOM221216P77.5,.05,-.03,.05,.06
.XOM221216P80,.06,-.03,.05,.07
.XOM221216P82.5,.08,-.03,.06,.09
.XOM221216P85,.11,0,.10,.11
.XOM221216P87.5,.15,0,.11,.14
.XOM221216P90,.20,0,.16,.19
.XOM221216P92.5,.25,-.02,.23,.25
.XOM221216P95,.36,-.03,.33,.36
.XOM221216P97.5,.53,-.03,.48,.52
.XOM221216P100,.73,+.02,.69,.72
.XOM221216P105,1.47,+.14,1.39,1.49
.XOM221216P110,2.83,+.23,2.76,2.86
.XOM221216P115,5.25,+.50,5.10,5.25
.XOM221216P120,8.72,+.72,8.60,8.85
.XOM221216P125,13.07,+1.17,12.90,13.25
.XOM221216P130,18.95,0,17.65,18.10
.XOM221216P140,29.75,-14.10,27.65,28.05
.XOM221216P145,33.66,0,32.65,33.05
.XOM221216P165,57.55,0,52.65,53.05
.XOM221216P170,57.80,0,57.65,58.05
.XOM221202P65,.04,0,0,.02
.XOM221202P75,.02,0,0,.02
.XOM221202P80,.02,0,0,.06
.XOM221202P85,.02,-.02,0,.07
.XOM221202P87,.06,0,0,.07
.XOM221202P88,.10,0,0,.08
.XOM221202P89,.05,0,.01,.10
.XOM221202P90,.04,-.01,.04,.07
.XOM221202P91,.13,0,.02,.10
.XOM221202P92,.23,0,.02,.08
.XOM221202P93,.06,-.05,.04,.08
.XOM221202P94,.07,-.02,.05,.09
.XOM221202P95,.11,+.01,.06,.09
.XOM221202P96,.14,+.03,.07,.13
.XOM221202P97,.18,+.03,.09,.12
.XOM221202P98,.20,+.06,.11,.14
.XOM221202P99,.25,+.04,.14,.20
.XOM221202P100,.21,+.01,.18,.23
.XOM221202P101,.24,-.05,.21,.28
.XOM221202P102,.31,-.04,.27,.31
.XOM221202P103,.36,-.08,.34,.40
.XOM221202P104,.52,-.10,.40,.50
.XOM221202P105,.56,+.03,.51,.61
.XOM221202P106,.69,-.17,.66,.74
.XOM221202P107,.83,-.04,.80,.91
.XOM221202P108,1.00,+.02,1.02,1.13
.XOM221202P109,1.35,-.10,1.24,1.38
.XOM221202P110,1.66,+.20,1.55,1.69
.XOM221202P111,1.89,+.01,1.88,2.03
.XOM221202P112,2.36,+.25,2.27,2.45
.XOM221202P113,3.00,+.28,2.77,2.94
.XOM221202P114,3.56,+.36,3.30,3.50
.XOM221202P115,4.00,-.40,3.90,4.25
.XOM221202P116,4.95,+.75,4.60,4.95
.XOM221202P117,6.40,+1.00,5.35,5.65
.XOM221202P118,6.10,0,6.15,6.50
.XOM221202P119,6.45,0,7.00,7.35
.XOM221202P120,8.04,+1.44,7.90,8.25
.XOM221202P121,7.80,0,8.70,9.20
.XOM221202P124,9.90,0,11.65,12.10
.XOM221202P130,18.00,0,17.65,18.05
.XOM221202P165,55.75,0,52.65,53.05
.XOM221209P55,.02,0,0,.07
.XOM221209P60,.04,0,0,.07
.XOM221209P65,.09,0,0,.07
.XOM221209P70,.05,0,0,.08
.XOM221209P75,.06,0,0,.08
.XOM221209P80,.04,-.03,.01,.06
.XOM221209P85,.06,0,.03,.11
.XOM221209P90,.12,0,.08,.14
.XOM221209P95,.22,0,.16,.22
.XOM221209P96,.30,0,.21,.28
.XOM221209P97,.31,-.03,.24,.32
.XOM221209P98,.50,+.09,.28,.36
.XOM221209P99,.41,-.03,.33,.41
.XOM221209P100,.44,-.06,.41,.49
.XOM221209P101,.53,-.02,.49,.56
.XOM221209P102,.66,-.20,.56,.66
.XOM221209P103,.72,-.13,.65,.77
.XOM221209P104,.85,-.11,.78,.90
.XOM221209P105,1.00,0,.98,1.05
.XOM221209P106,1.19,-.07,1.13,1.24
.XOM221209P107,1.36,-.11,1.33,1.46
.XOM221209P108,1.68,-.12,1.56,1.72
.XOM221209P109,1.96,-.27,1.83,2.01
.XOM221209P110,2.35,+.29,2.14,2.34
.XOM221209P111,2.59,0,2.52,2.77
.XOM221209P112,3.20,+.27,2.94,3.15
.XOM221209P113,3.50,+.30,3.40,3.65
.XOM221209P114,4.40,+.20,3.95,4.20
.XOM221209P115,4.42,-.01,4.50,4.80
.XOM221209P116,5.96,+1.28,5.15,5.50
.XOM221209P117,6.49,+1.69,5.85,6.20
.XOM221209P118,7.48,0,6.55,6.95
.XOM221209P120,9.15,+1.95,8.15,8.55
.XOM221209P123,10.55,0,10.75,11.25
.XOM221209P124,11.00,0,11.70,12.20
.XOM221209P125,13.80,+1.90,12.65,13.15
.XOM221125P55,.01,0,0,.01
.XOM221125P60,.01,0,0,.01
.XOM221125P65,.01,0,0,.03
.XOM221125P70,.03,0,0,.01
.XOM221125P75,.01,0,0,.03
.XOM221125P80,.02,0,0,.08
.XOM221125P85,.02,0,0,.05
.XOM221125P87,.04,0,0,.07
.XOM221125P88,.03,0,0,.03
.XOM221125P89,.10,0,.01,.05
.XOM221125P90,.01,-.01,.01,.02
.XOM221125P91,.02,0,0,.09
.XOM221125P92,.03,0,0,.04
.XOM221125P93,.03,0,0,.03
.XOM221125P94,.02,-.01,0,.02
.XOM221125P95,.02,-.03,0,.04
.XOM221125P96,.03,0,0,.08
.XOM221125P97,.04,+.01,.01,.06
.XOM221125P98,.03,-.03,.01,.04
.XOM221125P99,.03,-.05,.01,.04
.XOM221125P100,.03,-.01,.03,.04
.XOM221125P101,.04,-.03,.03,.05
.XOM221125P102,.08,-.01,.04,.06
.XOM221125P103,.07,-.05,.06,.08
.XOM221125P104,.09,-.05,.08,.14
.XOM221125P105,.13,-.04,.12,.14
.XOM221125P106,.18,-.07,.17,.20
.XOM221125P107,.30,-.03,.25,.31
.XOM221125P108,.41,-.02,.35,.41
.XOM221125P109,.55,-.02,.55,.56
.XOM221125P110,.82,+.10,.71,.82
.XOM221125P111,1.08,+.09,1.02,1.11
.XOM221125P112,1.48,+.17,1.41,1.51
.XOM221125P113,2.12,+.42,1.86,2.02
.XOM221125P114,2.64,+.42,2.49,2.70
.XOM221125P115,3.52,+.72,3.20,3.45
.XOM221125P116,4.55,-.35,3.95,4.25
.XOM221125P117,6.00,0,4.85,5.20
.XOM221125P118,8.40,0,5.65,6.15
.XOM221125P119,7.68,-.22,6.65,7.10
.XOM221125P120,7.60,0,7.65,8.10
.XOM221125P121,9.80,0,8.65,9.05
.XOM221125P122,10.63,+.99,9.65,10.05
.XOM221125P123,11.80,0,10.65,11.05
.XOM221125P124,12.80,0,11.65,12.05
.XOM221125P125,12.72,+1.47,12.65,13.00
.XOM221125P126,14.80,0,13.65,14.05
.XOM221125P130,17.80,0,17.65,18.05
.XOM221125P165,51.70,0,52.65,53.05
.XOM221125P170,55.95,0,57.65,58.05
.XOM221118P42.5,.04,0,0,.01
.XOM221118P45,.01,0,0,.01
.XOM221118P47.5,.03,0,0,.01
.XOM221118P50,.01,0,0,.01
.XOM221118P55,.01,0,0,.01
.XOM221118P60,.01,0,0,.01
.XOM221118P65,.03,0,0,.01
.XOM221118P70,.01,-.01,0,.01
.XOM221118P75,.01,0,0,.01
.XOM221118P77.5,.01,0,0,.01
.XOM221118P80,.01,-.01,0,.01
.XOM221118P82.5,.02,0,0,.01
.XOM221118P85,.03,0,0,.01
.XOM221118P87.5,.01,0,0,.01
.XOM221118P90,.01,0,0,.01
.XOM221118P92.5,.02,0,0,.01
.XOM221118P94,.01,0,0,.01
.XOM221118P95,.01,-.02,0,.01
.XOM221118P96,.01,0,0,.01
.XOM221118P97,.01,-.02,0,.01
.XOM221118P97.5,.01,0,0,.01
.XOM221118P98,.01,0,0,.01
.XOM221118P99,.01,0,0,.01
.XOM221118P100,.01,0,0,.01
.XOM221118P101,.01,0,0,.01
.XOM221118P102,.01,-.01,0,.01
.XOM221118P103,.01,-.01,0,.01
.XOM221118P104,.02,0,0,.01
.XOM221118P105,.01,0,0,.01
.XOM221118P106,.01,-.01,0,.01
.XOM221118P107,.02,-.01,0,.03
.XOM221118P108,.01,-.03,0,.02
.XOM221118P109,.01,-.06,0,.01
.XOM221118P110,.01,-.09,0,.01
.XOM221118P111,.01,-.21,0,.01
.XOM221118P112,.01,-.39,0,.08
.XOM221118P113,.91,+.12,.73,.97
.XOM221118P114,2.05,+.70,1.71,1.97
.XOM221118P115,3.15,+.90,2.72,2.97
.XOM221118P116,4.75,+.47,3.70,4.00
.XOM221118P117,5.27,+.80,4.65,5.00
.XOM221118P118,4.90,0,5.65,6.00
.XOM221118P119,5.40,0,6.65,7.00
.XOM221118P120,8.65,+.60,7.70,8.00
.XOM221118P121,10.50,+.70,8.65,9.00
.XOM221118P122,10.80,0,9.65,10.00
.XOM221118P123,11.60,0,10.65,11.00
.XOM221118P125,13.48,+2.73,12.65,13.00
.XOM221118P126,14.80,0,13.65,14.00
.XOM221118P129,21.85,0,16.65,17.00
.XOM221118P130,19.60,-1.00,17.65,18.00
.XOM221118P135,23.55,0,22.65,23.00
.XOM221118P140,25.80,0,27.65,28.00
.XOM221118P145,45.60,0,32.65,33.00
.XOM221118P150,39.85,0,37.65,38.00
.XOM221118P160,49.30,0,47.65,48.00
.XOM221118P165,52.80,0,52.65,53.00
.XOM221118P170,57.80,0,57.65,58.00
.WTTR230120P7.5,1.60,0,.15,.55
.WTTR221216P7.5,.15,0,.05,.30
.WTTR221216P10,1.55,+.47,.80,1.60
.WTTR221118P7.5,.05,0,0,.05
.WTTR221118P10,1.10,0,.90,1.55
.WTI250117P7,2.60,0,.30,3.00
.WTI240119P2,.15,0,0,.25
.WTI240119P3,.35,0,.20,.45
.WTI240119P4,.40,0,.45,.80
.WTI240119P5,.70,0,.80,1.20
.WTI240119P7,1.60,0,1.80,2.30
.WTI240119P10,3.20,0,3.70,4.20
.WTI240119P12,5.55,0,5.30,5.80
.WTI230421P4,.35,0,0,.75
.WTI230421P5,.40,0,.35,.55
.WTI230421P6,.88,0,.60,1.00
.WTI230421P7,1.00,0,1.10,1.45
.WTI230421P8,2.05,+.43,1.70,2.05
.WTI230421P9,2.64,0,2.40,2.70
.WTI230421P10,2.34,0,3.10,3.60
.WTI230421P11,3.50,0,4.00,4.40
.WTI230120P1,.25,0,0,.25
.WTI230120P2,.01,0,0,.05
.WTI230120P3,.04,0,0,.05
.WTI230120P4,.35,0,.05,.40
.WTI230120P5,.20,0,.10,.25
